"PLANT_UNQ","YEAR","CLASS","SEEDS"
"C_5",2001,"A4",545.3
"D_28",2001,"A4",2597.35
"D_4",2001,"A4",2597.35
"D_6",2001,"A4",2597.35
"E_10",2001,"A4",2597.35
"E_3",2001,"A4",2597.35
"E_9",2001,"A4",2597.35
"F_12",2001,"A4",2597.35
"B_5",2001,"dead",0
"B_7",2001,"dead",0
"C_12",2001,"dead",0
"E_8",2001,"dead",0
"G_12",2001,"dead",0
"H_19",2001,"dead",0
"B_14",2002,"A1",71.75
"C_16",2002,"A1",0
"C_5",2002,"A1",0
"D_1",2002,"A1",0
"D_24",2002,"A1",0
"E_2",2002,"A1",0
"F_13",2002,"A1",0
"F_20",2002,"A1",71.75
"F_5",2002,"A1",0
"G_9",2002,"A1",0
"H_11",2002,"A1",0
"H_9",2002,"A1",0
"I_8",2002,"A1",0
"A_5",2002,"A2",0
"C_23",2002,"A2",71.75
"C_4",2002,"A2",71.75
"D_14",2002,"A2",71.75
"D_26",2002,"A2",0
"D_4",2002,"A2",258.3
"E_10",2002,"A2",71.75
"E_9",2002,"A2",0
"F_1",2002,"A2",0
"F_12",2002,"A2",258.3
"F_6",2002,"A2",71.75
"H_16",2002,"A2",71.75
"H_4",2002,"A2",71.75
"H_8",2002,"A2",258.3
"A_2",2002,"A3",71.75
"B_10",2002,"A3",71.75
"C_26",2002,"A3",258.3
"D_28",2002,"A3",258.3
"D_6",2002,"A3",258.3
"E_3",2002,"A3",258.3
"B_6",2002,"dead",0
"B_9",2002,"dead",0
"C_18",2002,"dead",0
"D_16",2002,"dead",0
"D_18",2002,"dead",0
"D_8",2002,"dead",0
"E_11",2002,"dead",0
"F_22",2002,"dead",0
"I_5",2002,"dead",0
"A_2",2003,"A1",71.75
"D_26",2003,"A1",71.75
"F_12",2003,"A1",71.75
"I_8",2003,"A1",71.75
"B_10",2003,"A2",258.3
"B_14",2003,"A2",258.3
"C_23",2003,"A2",258.3
"D_4",2003,"A2",71.75
"E_9",2003,"A2",71.75
"F_6",2003,"A2",71.75
"H_16",2003,"A2",258.3
"H_8",2003,"A2",258.3
"C_26",2003,"A3",258.3
"C_4",2003,"A3",258.3
"D_28",2003,"A3",545.3
"D_6",2003,"A3",545.3
"E_10",2003,"A3",258.3
"E_3",2003,"A3",2597.35
"A_5",2003,"dead",0
"C_16",2003,"dead",0
"C_5",2003,"dead",0
"D_1",2003,"dead",0
"D_14",2003,"dead",0
"D_24",2003,"dead",0
"E_2",2003,"dead",0
"F_1",2003,"dead",0
"F_13",2003,"dead",0
"F_20",2003,"dead",0
"F_5",2003,"dead",0
"G_9",2003,"dead",0
"H_11",2003,"dead",0
"H_9",2003,"dead",0
"H_4",2003,"J",0
"A_2",2004,"dead",0
"B_10",2004,"dead",0
"B_14",2004,"dead",0
"C_23",2004,"dead",0
"C_26",2004,"dead",0
"C_4",2004,"dead",0
"D_26",2004,"dead",0
"D_28",2004,"dead",0
"D_4",2004,"dead",0
"D_6",2004,"dead",0
"E_10",2004,"dead",0
"E_3",2004,"dead",0
"E_9",2004,"dead",0
"F_12",2004,"dead",0
"F_6",2004,"dead",0
"H_16",2004,"dead",0
"H_4",2004,"dead",0
"H_8",2004,"dead",0
"I_8",2004,"dead",0
"1_709",2011,"A1",71.75
"1_705",2011,"A1",71.75
"5_762",2011,"A1",258.3
"1_708",2011,"A1",258.3
"3_753",2011,"A1",258.3
"9_305",2011,"A1",258.3
"3_755",2011,"A1",258.3
"7_773",2011,"A1",258.3
"7_780",2011,"A1",258.3
"4_727",2011,"A1",258.3
"7_783",2011,"A1",545.3
"4_728",2011,"A1",545.3
"7_784",2011,"A1",545.3
"4_726",2011,"A1",545.3
"9_312",2011,"A1",545.3
"9_311",2011,"A1",545.3
"1_716",2011,"A1",2597.35
"9_313",2011,"A1",71.75
"2_720",2011,"A1",71.75
"2_722",2011,"A1",71.75
"3_751",2011,"A1",71.75
"3_756",2011,"A1",71.75
"5_758",2011,"A2",71.75
"7_782",2011,"A2",71.75
"6_766",2011,"A2",258.3
"6_767",2011,"A2",545.3
"7_793",2011,"A2",545.3
"7_785",2011,"A2",545.3
"8_732",2011,"A2",545.3
"7_774",2011,"A2",545.3
"8_738",2011,"A2",545.3
"9_306",2011,"A2",545.3
"6_772",2011,"A2",2597.35
"8_733",2011,"A2",2597.35
"1_710",2011,"A2",2597.35
"1_703",2011,"A2",2597.35
"1_704",2011,"A2",2597.35
"7_781",2011,"A2",2597.35
"7_787",2011,"A2",2597.35
"9_309",2011,"A2",2597.35
"7_786",2011,"A2",2597.35
"8_736",2011,"A2",2597.35
"4_729",2011,"A2",258.3
"2_749",2011,"A2",258.3
"3_752",2011,"A2",258.3
"7_779",2011,"A3",2597.35
"5_759",2011,"A3",2597.35
"6_771",2011,"A3",2597.35
"6_765",2011,"A3",2597.35
"9_315",2011,"A3",2597.35
"7_789",2011,"A3",2597.35
"8_744",2011,"A3",2597.35
"9_319",2011,"A3",2597.35
"1_712",2011,"A3",2597.35
"8_743",2011,"A3",2597.35
"8_731",2011,"A3",2597.35
"8_735",2011,"A3",2597.35
"6_769",2011,"A4",2597.35
"6_768",2011,"A4",2597.35
"5_763",2011,"A4",2597.35
"5_761",2011,"A4",2597.35
"7_792",2011,"A4",2597.35
"8_734",2011,"A4",2597.35
"2_1",2011,"J",0
"2_61",2011,"J",0
"2_64",2011,"J",0
"2_73",2011,"J",0
"2_74",2011,"J",0
"2_81",2011,"J",0
"2_93",2011,"J",0
"2_96",2011,"J",0
"2_97",2011,"J",0
"2_98",2011,"J",0
"8_737",2011,"J",0
"8_740",2011,"J",0
"8_741",2011,"J",0
"8_746",2011,"J",0
"2_749A",2011,"J",0
"2_750D",2011,"J",0
"2_750E",2011,"J",0
"2_750F",2011,"J",0
"2_750G",2011,"J",0
"2_750H",2011,"J",0
"2_750I",2011,"J",0
"2_750J",2011,"J",0
"2_751A",2011,"J",0
"2_752A",2011,"J",0
"2_752B",2011,"J",0
"2_752C",2011,"J",0
"2_752D",2011,"J",0
"5_761A",2011,"J",0
"6_772A",2011,"J",0
"2_s155",2011,"J",0
"2_s156",2011,"J",0
"5_s156",2011,"J",0
"2_s157",2011,"J",0
"2_s158",2011,"J",0
"2_s159",2011,"J",0
"5_s159",2011,"J",0
"2_s160",2011,"J",0
"2_s161",2011,"J",0
"2_s162",2011,"J",0
"2_s163",2011,"J",0
"2_s164",2011,"J",0
"2_s165",2011,"J",0
"2_s166",2011,"J",0
"2_s167",2011,"J",0
"2_s168",2011,"J",0
"2_s169",2011,"J",0
"2_s170",2011,"J",0
"2_s171",2011,"J",0
"6_s171",2011,"J",0
"2_s172",2011,"J",0
"6_s172",2011,"J",0
"2_s173",2011,"J",0
"6_s173",2011,"J",0
"2_s174",2011,"J",0
"5_s174",2011,"J",0
"2_s175",2011,"J",0
"5_s175",2011,"J",0
"2_s176",2011,"J",0
"5_s176",2011,"J",0
"2_s177",2011,"J",0
"2_s178",2011,"J",0
"2_s179",2011,"J",0
"2_s180",2011,"J",0
"2_s181",2011,"J",0
"2_s182",2011,"J",0
"2_s183",2011,"J",0
"2_s184",2011,"J",0
"2_s185",2011,"J",0
"2_s186",2011,"J",0
"2_s187",2011,"J",0
"2_s188",2011,"J",0
"2_s189",2011,"J",0
"2_s190",2011,"J",0
"2_s191",2011,"J",0
"2_s192",2011,"J",0
"2_s193",2011,"J",0
"2_s194",2011,"J",0
"2_s195",2011,"J",0
"2_s196",2011,"J",0
"2_s197",2011,"J",0
"2_s198",2011,"J",0
"2_s199",2011,"J",0
"2_s200",2011,"J",0
"2_s201",2011,"J",0
"2_s202",2011,"J",0
"2_s203",2011,"J",0
"2_s204",2011,"J",0
"2_s205",2011,"J",0
"2_s206",2011,"J",0
