PLANT_UNQ,YEAR,CLASS,OBS_ID,COHORT,PLANT NUM,xDIAM_cm,SEEDS_DC,MEDIAN_INFL,INFL_CLASS,MAX_INFL,OBS_INLF,SEEDS_YR_INF,CAGED,WATERED
E_12,1997,A1,324,E,12,19,26.7,5,1,111,,,N,N
E_2,1997,A1,316,E,2,15,26.7,5,1,111,,,N,N
E_5,1997,A1,318,E,5,11,26.7,5,1,111,,,N,N
E_7,1997,A1,319,E,7,12,26.7,5,1,111,,,N,N
E_8,1997,A1,320,E,8,15,26.7,5,1,111,,,N,N
F_1,1997,A1,325,F,1,11,26.7,0,0,0,,,N,N
F_11,1997,A1,330,F,11,16,26.7,5,1,111,,,N,N
F_13,1997,A1,332,F,13,17,26.7,5,1,111,,,N,N
F_15,1997,A1,333,F,15,11,26.7,0,0,0,,,N,N
F_20,1997,A1,334,F,20,12,26.7,5,1,111,,,N,N
F_5,1997,A1,327,F,5,12,26.7,5,1,111,,,N,N
F_9,1997,A1,329,F,9,12,26.7,0,0,0,,,N,N
G_1,1997,A1,336,G,1,11,26.7,5,1,111,,,N,N
G_11,1997,A1,338,G,11,13,26.7,0,0,0,,,N,N
G_12,1997,A1,339,G,12,11,26.7,0,0,0,,,N,N
G_9,1997,A1,337,G,9,20,26.7,5,1,111,,,N,N
H_11,1997,A1,345,H,11,13,26.7,5,1,111,,,N,N
H_13,1997,A1,346,H,13,15,26.7,0,0,0,,,N,N
H_16,1997,A1,347,H,16,19,26.7,5,1,111,,,N,N
H_19,1997,A1,348,H,19,11,26.7,0,0,0,,,N,N
H_2,1997,A1,340,H,2,11,26.7,0,0,0,,,N,N
H_8,1997,A1,343,H,8,14,26.7,5,1,111,,,N,N
I_5,1997,A1,349,I,5,18,26.7,5,1,111,,,N,N
A_3,1997,A2,282,A,3,21,476.6,18,2,123,,,N,N
B_14,1997,A2,290,B,14,25,476.6,18,2,123,,,N,N
B_7,1997,A2,287,B,7,27,476.6,18,2,123,,,N,N
B_9,1997,A2,288,B,9,26,476.6,38,3,227,,,N,N
C_17,1997,A2,298,C,17,27,476.6,18,2,123,,,N,N
C_4,1997,A2,292,C,4,23,476.6,5,1,111,,,N,N
C_8,1997,A2,294,C,8,21,476.6,5,1,111,,,N,N
C_9,1997,A2,295,C,9,22,476.6,18,2,123,,,N,N
D_14,1997,A2,308,D,14,27,476.6,18,2,123,,,N,N
D_18,1997,A2,310,D,18,25,476.6,18,2,123,,,N,N
D_19,1997,A2,311,D,19,27,476.6,18,2,123,,,N,N
D_24,1997,A2,312,D,24,23,476.6,18,2,123,,,N,N
D_8,1997,A2,306,D,8,23,476.6,18,2,123,,,N,N
E_3,1997,A2,317,E,3,23,476.6,18,2,123,,,N,N
F_22,1997,A2,335,F,22,24,476.6,5,1,111,,,N,N
H_4,1997,A2,342,H,4,30,476.6,38,3,227,,,N,N
H_9,1997,A2,344,H,9,25,476.6,18,2,123,,,N,N
I_8,1997,A2,350,I,8,26,476.6,18,2,123,,,N,N
I_9,1997,A2,351,I,9,23,476.6,5,1,111,,,N,N
A_2,1997,A3,281,A,2,37,668.1,38,3,227,,,N,N
B_19,1997,A3,291,B,19,35,668.1,38,3,227,,,N,N
B_5,1997,A3,285,B,5,38,668.1,38,3,227,,,N,N
D_1,1997,A3,303,D,1,33,668.1,38,3,227,,,N,N
D_28,1997,A3,315,D,28,40,668.1,181,4,312,,,N,N
E_11,1997,A3,323,E,11,34,668.1,18,2,123,,,N,N
E_9,1997,A3,321,E,9,35,668.1,38,3,227,,,N,N
F_12,1997,A3,331,F,12,32,668.1,18,2,123,,,N,N
F_6,1997,A3,328,F,6,35,668.1,38,3,227,,,N,N
H_3,1997,A3,341,H,3,36,668.1,18,2,123,,,N,N
A_5,1997,A4,283,A,5,46,1860,38,3,227,,,N,N
B_6,1997,A4,286,B,6,41,1860,38,3,227,,,N,N
C_12,1997,A4,296,C,12,48,1860,38,3,227,,,N,N
C_18,1997,A4,299,C,18,46,1860,38,3,227,,,N,N
A_4,1997,dead,672,A,4,0,0,0,0,0,,,N,N
A_7,1997,dead,673,A,7,0,0,0,0,0,,,N,N
B_13,1997,dead,674,B,13,0,0,0,0,0,,,N,N
